Name,ID,Quote,Description,Quality
Tarot Cloth,5.100.451,I see the future,Drops a random card or rune.  Doubles the effects of most cards and runes.  Doubles the effects of tarot cards.,2
Technology Zero,5.100.524,Static tears!,Connects Isaac's tears with electricity that can damage enemies.,3
Trisagion,5.100.533,Smite thy enemy,Tears are replaced with piercing white blasts of light that can damage the same enemy multiple times.,3
Varicose Veins,5.100.452,I'm leaking...,Taking damage releases a ring of 10 high damage tears.,1
YO LISTEN!,5.100.492,Yo listen!,"+1 luck. Spawns a fairy familiar that points out  Secret Rooms,  Crawl Space entrances, and tinted rocks.",2
120 Volt,5.100.559,Zap!,Repeatedly zaps enemies that are close to Isaac.,2
2Spooky,5.100.554,4me,Enemies near Isaac are afflicted with fear.,1
4.5 Volt,5.100.647,Beat the juice out of them!,"Active items don't charge when clearing rooms. Instead, they're charged by dealing damage to enemies.",2
A Bar of Soap,5.100.564,Tears + shot speed up,Gives Isaac +0.5 Tears and +0.2 Shot Speed.,3
A Pound of Flesh,5.100.672,Blood money,"Devil deals now cost   Coins,  Shop items now cost health, and consumables in shops are free but surrounded by spikes.",1
Act of Contrition,5.100.601,"Tears up, you feel forgiven",Increases tears and grants an   Eternal Heart. Allows  Angel Rooms to appear even if a Devil Deal has been taken before. Reduces the Devil/Angel room chance penalty for taking Red heart damage.,3
Akeldama,5.100.641,Spill your guts,"While in an uncleared room, Isaac forms a trail of bloody tears that drags behind him, bursting and dealing damage upon contact with enemies.",2
Almond Milk,5.100.561,DMG down + tears up + you feel nutty,"Quadruples fire rate, with x0.3 damage multiplier. Tears are given random worm trinket effects.",1
Astral Projection,5.100.677,The true out-of-body experience!,"Causes Isaac to turn into a ghost if he gets hit while in an uncleared room, giving him flight and spectral tears and blocking the next hit he takes.",2
Azazel's Rage,5.100.699,Ancient power,"Isaac builds rage every time a room is cleared. After four rooms, fires a large Brimstone laser when entering the next room.",2
Battery Pack,5.100.603,Instant energy!,Recharges Isaac's currently held active item and drops 2-4 batteries.,0
Belly Jelly,5.100.690,Bounce away!,"Causes enemies to bounce off of Isaac, dealing damage to them if they hit an enemy or obstacle. Also gives Isaac the chance to deflect enemy shots.",3
Binge Eater,5.100.664,All you can eat,+1 Red Heart Container and fully heals Isaac. Item pedestals also offer a random food item. Picking up a food item temporarily grants +3.6 damage and permanently boosts 2 stats.,4
Bird Cage,5.100.610,Fat buddy,"The first time Isaac takes damage in a room, a familiar leaps on an enemy, dealing damage and releasing a rock wave. For the rest of the room, it chases enemies similar to  Dead Bird.",1
Bird's Eye,5.100.616,It burns,Gives a chance to shoot fires alongside tears that block enemy shots and deal damage to enemies that touch them.,3
Birthright,5.100.619,???,Grants a character-specific effect that enhances their special abilities.,3
Blood Bombs,5.100.614,Bloody blast + HP up,Grants a Red Heart container and restores 5 hearts. Bombs leave behind damaging red creep. Isaac can place   Bombs at the cost of half a heart if he doesn't have any.,2
Blood Oath,5.100.569,Bleed me dry,"Stabs Isaac at the beginning of each floor, draining his   Red Hearts. Increases damage and speed for the floor based on the amount drained.",1
Blood Puppy,5.100.565,What a cute little thing!,"Spawns a familiar that chases enemies. After killing enough enemies, it becomes more powerful but will also try to hurt Isaac. Attacking it returns it to normal.",1
Bloody Gust,5.100.695,May your rage bring haste,"The first 6 times Isaac takes damage on a given floor, he gains Speed and Fire Rate for the rest of the floor, up to a maximum of +1.02 and +3.00, respectively.",2
Boiled Baby,5.100.607,Messy friend,Gives Isaac a familiar that fires chaotic bursts of tears in all directions.,1
Bone Spurs,5.100.683,Break your enemies,"Enemies spawn floating bones on death, which block shots and damage/repel enemies that touch them.",2
Booster Pack,5.100.624,Collect them all!,Drops 5 random cards.,1
Bot Fly,5.100.629,Defense drone,Spawns an orbiting fly familiar that fires shielded tears at incoming enemy projectiles.,3
Brimstone Bombs,5.100.646,Demon blast +5 bombs,+5   Bombs. Bombs fire four  Brimstone lasers in the cardinal directions upon exploding.,2
C Section,5.100.678,Fetus shots,Replaces tears with fetuses that chase down enemies and deal contact damage. Each shot requires a brief charge up.,4
Candy Heart,5.100.671,Power of love,Gives Isaac a permanent stat boost whenever he heals with   Red Heart pickups.,1
Card Reading,5.100.660,A link to your future,"Spawns two portals at the beginning of each floor that each lead to either the  Boss Room,  Treasure Room, or  Secret Room.",3
Consolation Prize,5.100.644,+1 to lowest stat,"Increases Isaac's lowest stat and drops either 3   Coins, 1   Bomb, or 1   Key depending on what Isaac has the least of.",1
Cracked Orb,5.100.675,Shards of knowledge,Unlocks doors and reveals a random room on the map when Isaac takes damage.,1
Cube Baby,5.100.652,Kick it!,"Spawns an ice cube familiar that slides around when walked into. It slows and deals contact damage, freezing monsters it kills.",1
Dad's Note,5.100.668,...,Sends Isaac on an Ascent toward  Home.,0
Dirty Mind,5.100.576,Filthy friends,Destroying poop spawns Dip Familiars that follow Isaac and damage enemies. Destroying different types of poop spawns different Dips with special effects.,1
Divine Intervention,5.100.568,Double tap shield,Double tapping a fire key creates a shield that pushes away enemies and reflects enemy projectiles and lasers.,2
Dogma,5.100.633,Ascended,"Grants flight, +2 damage, and increases speed to 1.1. Grants enough health to have 6 full hearts, if possible. Grants the Holy Mantle effect for the room it was obtained in. Automatically given to Isaac after defeating Dogma.",3
Dream Catcher,5.100.566,Sweet dreams,"During the transition between floors, Isaac's nightmare shows the contents of the  upcoming floor's  Treasure Room, as well as the floor's boss. Grants a   Half Soul Heart when entering a new floor.",2
Echo Chamber,5.100.700,I can see see the future future future,"When Isaac uses a Card, Pill, or Rune, he also uses a copy of the previous three Cards/Pills/Runes he used after picking up Echo Chamber.",3
Empty Heart,5.100.676,It multiplies,"If Isaac has one red heart or fewer at the beginning of a floor, he gains an empty red heart container.",1
Evil Charm,5.100.632,Luck up + you feel protected,"+2 luck. Provides immunity to burn, confusion, fear, and poison.",2
Eye Drops,5.100.600,Tears up,"Increases the fire rate in Isaac's left eye, causing his eyes to fire at different rates.",3
Eye of the Occult,5.100.572,DMG up + range up + controlled tears,"+1 damage, +2 range, -0.16 shot speed. Isaac's tears can be controlled mid-flight with tear controls.",3
Eye Sore,5.100.558,More eyes,Causes Isaac to occasionally fire extra tears in random directions while shooting.,1
False PHD,5.100.654,Worse pills + evil up,Converts good pills into bad pills and identifies all pills. Bad pills now have secondary positive effects. Grants one   Black Heart.,2
Freezer Baby,5.100.608,Iced iced baby,"Spawns a shooting familiar that has a chance to petrify enemies, and Freezes monsters upon killing them.",2
Fruity Plum,5.100.649,Bouncy friend,"Gives Isaac a miniature   Baby Plum familiar that propels itself diagonally around the room, firing tears behind itself as it travels.",1
Ghost Bombs,5.100.727,Spooky blast +5 bombs,+5   Bombs. Bombs become spectral and spawn ghosts that deal contact damage to enemies and explode after 10 seconds.,2
Giant Cell,5.100.658,Micro friends,"Causes Isaac to spawn micro-Isaacs when he takes damage, which chase and shoot at nearby enemies.",1
Glass Eye,5.100.730,DMG + luck up,"+0.75 damage, +1 luck.",3
Glitched Crown,5.100.689,?????,Item pedestals cycle between 5 random items before being picked up.,4
Guppy's Eye,5.100.665,An eye for secrets,"Shows the contents of   Chests,   Fire Places,   Grab Bags, and   Shopkeepers before they're opened/destroyed.",2
Heartbreak,5.100.694,Eternal sorrow,Grants 3 broken hearts and +0.25 damage for every broken heart Isaac has. Every otherwise fatal hit will add 2 more until Isaac has nothing but broken hearts.,3
Hemoptysis,5.100.726,Double tap sneeze,"Double-tapping a fire button causes Isaac to sneeze blood, dealing damage to enemies in front of him. Affected enemies are cursed and take more damage from  Brimstone-like attacks.",1
Hungry Soul,5.100.684,Out for blood,"Enemies have a chance to spawn ghosts on death, which chase and deal contact damage to enemies and explode after a short time.",2
Hypercoagulation,5.100.724,Thick blooded,"After Isaac takes damage from an enemy or donates health, launches   Red Hearts from Isaac that despawn after 1.5 seconds.",2
IBS,5.100.725,Your stomach rumbles,"Causes Isaac to throw poop, create buffing creep, or drop bombs while fighting enemies.",0
Immaculate Heart,5.100.573,Halo of tears,Adds one Red Heart Container and fully restores health. x1.2 damage multiplier. Isaac will occasionally fire extra tears that orbit around him.,3
Inner Child,5.100.688,Let him free,"Upon death, Isaac respawns in the current room with half of a   Red Heart, a massive size down, and +0.2 Speed.",2
Isaac's Tomb,5.100.701,Buried memories,Spawns an   Old Chest at the start of each floor.,3
It Hurts,5.100.560,No it doesn't...,Releases a ring of tears and increases fire rate for the current room when Isaac takes damage.,1
Jupiter,5.100.594,You're a gas giant!,"+2 red Heart containers, -0.3 speed. Isaac builds speed while standing still, and releases poison gas clouds when he moves afterwards.",2
Keeper's Kin,5.100.717,Under a rock,"Rocks and other Obstacles spawn blue spiders over time while in a room with enemies, and spawn two blue spiders when destroyed.",2
Keeper's Sack,5.100.716,Spending power,"Gives range, speed, or damage when buying things from a shop. Also spawns three coins and a  Key on pickup.",3
Knife Piece 1,5.100.626,???,"Combined with  Knife Piece 2, creates a knife familiar that damages enemies and can open the door to the  Corpse.",0
Knife Piece 2,5.100.627,???,"Combined with  Knife Piece 1, creates a knife familiar that damages enemies and can open the door to the  Corpse.",0
Knockout Drops,5.100.637,They pack a punch!,Adds a chance to shoot a fist tear that has extremely high knockback and confuses enemies.,3
Lil Abaddon,5.100.679,Abyssal friend,Spawns a familiar that charges a miniature  Maw of the Void attack while Isaac shoots.,2
Lil Dumpy,5.100.615,Puffy buddy,"Spawns a Dumpy familiar that pushes away nearby enemies and projectiles just before Isaac is about to be hit, then falls asleep. He can be awoken by walking to him.",3
Lil Portal,5.100.681,It hungers,"A familiar that flies forward, consuming pickups in its path. Each one will increase its size and damage and spawn a Blue Fly. Every four pickups, it opens a portal that leads to an unexplored room.",1
Lodestone,5.100.617,Magnetizing tears,"Gives Isaac the chance to fire tears that magnetize enemies they hit, causing them to attract nearby pickups and enemies, as well as tears/shots from all sources.",3
Lost Soul,5.100.612,Protect him,"Creates a ghostly familiar that closely follows behind Isaac. It dies in one hit, but respawns at the start of the next floor. Each time it survives until the next floor, it rewards Isaac with   Soul Hearts,   Eternal Hearts, or an Item.",2
Luna,5.100.589,The moon's blessing shines upon you,Adds an extra  Secret Room and  Super Secret Room to each floor. Secret Rooms contain a beam of light that increases Fire Rate for the current floor and gives a   Half Soul Heart.,2
Mars,5.100.593,Double tap dash,"Dash by double-tapping the movement key, becoming invulnerable and damaging enemies. There's a short cooldown before Isaac can dash again.",2
Member Card,5.100.602,Exclusive access!,Adds a trapdoor to every  Shop that leads to a second shop with a unique stock and marked-up prices.,2
Mercurius,5.100.590,Speed up + you feel elusive,"+0.4 speed. Doors stay open after entering a room, even in rooms with enemies.",3
Mom's Ring,5.100.732,DMG up,+1 Damage. Drops a random Rune or Soul Stone upon pickup.,3
Monstrance,5.100.574,Purifying light,Isaac gains an aura that deals damage to enemies inside it.,2
Montezuma's Revenge,5.100.680,Oh no...,"While firing, Isaac charges up a short-ranged Brimstone-like diarrhea beam that shoots behind him.",2
Mucormycosis,5.100.553,Spore shot,"Gives Isaac the chance to fire spore tears that stick to enemies and blow up after a few seconds, dealing damage and poisoning nearby enemies and releasing more spores.",3
Nancy Bombs,5.100.563,Random blast +5 bombs,+5   Bombs. Each bomb gains 1-4 random bomb synergies.,2
Neptunus,5.100.597,Open the floodgates,"Isaac's mouth fills with tears over time while not firing, up to a cap. Holding the fire button will release all stored tears in rapid succession.",3
Ocular Rift,5.100.606,Stare into the abyss,"Gives Isaac the chance to fire tears that create rifts where they land, which damage nearby enemies and pull in enemies, pickups, and tears/shots from all sources.",3
Options?,5.100.670,There might be options,"If a room gives a reward when cleared, there will be two different rewards to chose from. Taking one causes the other to disappear.",2
Orphan Socks,5.100.571,Speed up + your feet feel stronger,Prevents creep and floor spikes from damaging Isaac. Also gives Isaac +0.3 speed and 2   Soul Hearts.,2
Paschal Candle,5.100.567,Keep the flame burning,Gives Isaac a familiar that grants +0.4 Fire Rate for each consecutive room he's cleared without taking damage. The bonus stacks up to five times.,3
Playdough Cookie,5.100.570,Tasty rainbow,Grants multicolored tears. Each color comes with a different status or tear effect.,2
Pluto,5.100.598,Size down,"+0.7 tears. Significantly shrinks Isaac, allowing him to squeeze between objects and makes some enemy shots pass over him.",3
Psy Fly,5.100.581,Flamboyant protector,Spawns a fly orbital familiar that chases and blocks enemy shots.,4
Purgatory,5.100.634,Help from beyond,"While in a room with enemies, spawns cracks on the ground. Walking over these cracks summons ghosts that launch themselves at enemies and explode.",2
Quints,5.100.661,They lurk inside,The first five enemies killed in a room will spawn stationary shooting familiars where they died.,2
Red Stew,5.100.621,Full HP + temporary DMG up,Refills all heart containers. Grants an enormous damage boost that wears off over time.,2
Redemption,5.100.673,Deliver me from evil,"If Isaac enters a  Devil Room, but leaves without taking/opening anything in it (including   Black Hearts, etc.), he gets +1 Damage and a   Soul Heart at the start of the next floor.",2
Revelation,5.100.643,Awaken your faith,"Grants flight and two   Soul Hearts. In addition to tears, Isaac can charge up and fire a powerful holy laser.",4
Rock Bottom,5.100.562,It's only up from there,Locks Isaac's attributes to their highest values reached.,3
Rocket in a Jar,5.100.583,Rocket propulsion +5 bombs,"+5   Bombs. If Isaac is currently firing, placing a bomb will instead shoot a fast-moving, explosive rocket in the direction he's facing.",2
Rotten Tomato,5.100.618,Delicious!,Adds a chance to fire tears that mark enemies with the Bait status effect. Enemies marked as bait are attacked by other enemies.,2
Sacred Orb,5.100.691,Destined for greatness,"Prevents items of quality 0-1 from appearing, and items of quality 2 from appearing 33% of the time, greatly increasing the quality of items received from all item pools. Quest items are unaffected.",4
Salvation,5.100.696,Divine protection,Gives Isaac a halo that summons beams of light on enemies inside it. The halo grows larger the more times Isaac has taken damage this floor.,3
Sanguine Bond,5.100.692,He awaits your offering,Spawns a special set of spikes in the  Devil Room. Taking damage from the spikes has a chance to grant a reward.,1
Saturnus,5.100.595,Ring of tears,"Upon entering a room, a circle of tears orbits Isaac. Enemy tears have a chance to be caught in orbit, turning them friendly.",2
Sausage,5.100.669,All stats up,"Adds a Red Heart Container, fully heals Isaac, and gives +0.2 Speed, +0.5 Damage, +0.5 Tears, +2.5 Range, +0.2 Shot Speed, and +1.0 Luck. Increases the chance of encountering a  Devil Room,  Angel Room, and/or  Planetarium each by 6.9%.",3
Sol,5.100.588,Radiant victory,"Reveals the location of the  Boss Room. Upon defeating a boss, activates  XIX - The Sun, fully recharges Isaac's active item, grants bonus damage and luck for the rest of the floor, and removes curses.",2
Soul Locket,5.100.686,Power of faith,Gives Isaac a permanent stat boost whenever he picks up a   Soul Heart.,1
Spirit Shackles,5.100.674,Unfinished business,"On death, Isaac's ghost is chained to his dead body and he can continue to fight with 1/2 of a heart, returning to life after 10 seconds. After it activates, it must be recharged by picking up a   Soul Heart.",2
Spirit Sword,5.100.579,Divine blade,"Instead of tears, Isaac swings a sword. Charging does a spin attack and fires a projectile, and a projectile is sometimes fired with normal swings if Isaac has no empty   Red Heart Containers.",3
Stapler,5.100.708,DMG up,"+1 Damage. Prevents Isaac from firing tears from his left eye, like   Cain.",3
Star of Bethlehem,5.100.651,Follow the light,"Spawns a star familiar that slowly travels towards the  Boss Room, giving an aura that increases damage and tears and grants homing tears.",3
Strawman,5.100.667,A helping hand,"Spawns a controllable   Keeper to fight enemies alongside Isaac, functioning similarly to   Jacob and Esau. If Keeper dies, he spawns 5 blue spiders and Strawman is removed from Isaac's inventory.",2
Stye,5.100.731,DMG + range up,"Tears fired from Isaac's right eye have +28% Damage, +6.5 Range, and -0.3 Shot Speed.",2
Supper,5.100.707,HP up,Grants one full Red Heart container. Heals 1 additional   Red Heart.,1
Terra,5.100.592,Born to rock,"+1 Damage. Replaces tears with rocks that deal variable damage, have increased knockback, and can destroy obstacles.",3
The Intruder,5.100.575,Invasive friend,"A familiar burrows in Isaac's head, firing 4 slowing tears. Upon taking damage, there's a chance it will burst out of Isaac's head, spawning blue spiders and chasing enemies for the current room.",3
The Stairway,5.100.586,May you get what you came for,Generates a ladder at the start of every floor that leads to a unique  Angel Room shop.,3
The Swarm,5.100.693,Infest,"Spawns eight orbital flies, which turn into Blue Flies after they block a shot. Each time a room is cleared, spawns another orbital fly.",2
Tinytoma,5.100.645,Itching for revenge,"Gives Isaac a   Teratoma orbital that blocks shots, deals contact damage, and splits into smaller versions of itself upon taking damage. The smaller versions break into blue spiders.",1
TMTRAINER,5.100.721,ZZaZZ ZZdZZiZZmZZhZZ ZZvZZ ZZoZZ ZZ ZZsZZlZZhZZsZZoZZaZZiZZ,"Causes all future items to be ""glitched"", granting them completely random effects.",0
Tooth and Nail,5.100.663,You feel prickly,"Isaac periodically turns into a spiked statue, briefly becoming invulnerable and dealing contact damage.",2
Tropicamide,5.100.659,Tear size + range up,"+2.5 Range, Increases tear size.",1
Twisted Pair,5.100.698,Double trouble!,"Spawns two familiars that float on either side of Isaac and fire tears that use his tears, range, shot speed, and tear effects, and scale with damage.",4
Uranus,5.100.596,Ice tears,"Isaac shoots ice tears, which slow enemies and freeze monsters they kill. Frozen enemies slide away and explode into ice shards when touched.",3
Vanishing Twin,5.100.697,He wants revenge,Spawns a familiar that becomes a clone of the floor's boss when entering the  Boss Room. Defeating it drops an extra item.,2
Vasculitis,5.100.657,Clogged enemies,"Enemies explode into tears upon death, which inherit the effects of Isaac's tears.",1
Vengeful Spirit,5.100.702,Hot blooded,"After taking damage, spawns an orbital wisp that lasts for the entire floor, up to a maximum of six. They fire tears but do not block shots.",1
Venus,5.100.591,HP up + you feel pretty,Adds one red Heart container. Heals 1 additional   Red Heart. Enemies near Isaac become charmed.,2
Voodoo Head,5.100.599,Extra curse rooms,Spawns an additional  Curse Room on each floor. Curse Rooms have improved layouts.,2
Worm Friend,5.100.682,Clingy buddy,Gives Isaac a   Nerve Ending familiar that burrows out of the ground to grab and deal damage to enemies over time.,3
